male,female
ІТ-ішник,ІТ-ішниця
абонент,абонентка
абориген,аборигенка
абстракціоніст,абстракціоністка
абітурієнт,абітурієнтка
авантюрист,авантюристка
автоматник,автоматниця
автомобіліст,автомобілістка
автор,авторка
агент,агентка
агностик,агностикиня
агроном,агрономка
агітатор,агітаторка
адвокат,адвокатка
адміністратор,адміністраторка
адресант,адресантка
адресат,адресатка
айтішник,айтішниця
академік,"академікиня, пані академік"
академіст,академістка
аквалангіст,аквалангістка
аквареліст,акварелістка
акомпаніатор,акомпаніаторка
акордеоніст,акордеоністка
акробат,акробатка
активіст,активістка
актор,акторка
акушер,акушерка
акціонер,акціонерка
алерголог,алергологиня
алжирець,алжирка
альбінос,альбіноска
альпініст,альпіністка
альтруїст,альтруїстка
амбасадор,амбасадорка
американець,американка
аналітик,аналітикиня
анархіст,анархістка
англієць,англійка
анестезіолог,анестезіологиня
антагоніст,антагоністка
антисеміт,антисемітка
антрополог,антропологиня
аніматор,аніматорка
апологет,апологетка
аптекар,аптекарка
араб,арабка
аравієць,аравійка
арбітр,"арбітерка, арбітриня"
аргентинець,аргентинка
арештант,арештантка
аристократ,аристократка
артист,артистка
арфіст,арфістка
архаїст,архаїстка
археолог,археологиня
архіваріус,архіваріуска
архівіст,архівістка
архітектор,архітекторка
арієць,арійка
асистент,асистентка
аскет,аскетка
аспірант,аспірантка
астролог,астрологиня
астронавт,астронавтка
атеїст,атеїстка
атомник,атомниця
аудитор,аудиторка
аутсайдер,аутсайдерка
афганець,афганка
аферист,аферистка
африканець,африканка
багатій,багатійка
багач,багачка
базарник,базарниця
базіка,базіка
байкар,байкерка
баламут,баламутка
балетмейстер,балетмейстерка
бандит,бандитка
бандурист,бандуристка
банкір,банкірка
барабанщик,барабанщиця
бармен,"барменка, барвуменка"
барон,баронеса
бар’єрист,бар’єристка
баскетболіст,баскетболістка
баяніст,баяністка
безлюдник,безлюдниця
безпритульний,безпритульна
безробітний,безробітна
белетрист,белетристка
благодійник,благодійниця
блогер,блогерка
бодібілдер,бодібілдерка
боксер,боксерка
борець,борчиня
боржник,боржниця
боягуз,боягузка
боєць,бійчиня
бранець,бранка
брехля,брехля
брехун,брехунка
бригадир,бригадирка
британець,британка
брокер,брокерка
буддист,буддистка
будівельник,будівельниця
букмекер,букмекерка
бунтар,бунтарка
бунтівник,бунтівниця
бухгалтер,бухгалтерка
бюрократ,бюрократка
біатлоніст,біатлоністка
бібліотекар,бібліотекарка
бігун,бігунка
бідака,бідака
бідолага,бідолага
бідолаха,бідолаха
біженець,біженка
бізнесмен,бізнесвумен
біолог,біологиня
бісексуал,бісексуалка
вантажник,вантажниця
вартовий,вартова
ватник,ватниця
вахтер,вахтерка
вбивця,вбивця
вболівальник,вболівальниця
вдівець,"вдова, вдовиця"
веган,веганка
вегетаріанець,вегетаріанка
ведучий,ведуча
велосипедист,велосипедистка
вербувальник,вербувальниця
вереда,вереда
вередун,вередунка
